task_name,task_type,days_until_deadline,remaining_days,required_hours,progress_percent,current_cgpa,task_weight,weightage_marks,difficulty_level,stress_level,past_delay_history,dependency_count,risk_score,delay_days,will_delay
ML Model Project,project,15,12,9.4,48,7.43,41,47,very_hard,medium,10,3,65.5,5,1
Computer Graphics Assignment #1,assignment,25,24,49.0,45,5.31,17,89,medium,high,10,5,64.7,14,1
DBMS Lab - SQL Queries #1,lab_experiment,5,1,29.8,16,4.54,23,51,hard,low,2,6,82.1,9,1
Module Exam,exam,11,8,77.4,37,8.48,26,24,medium,low,3,6,39.2,0,0
End-Semester Exam #4,exam,17,17,36.9,86,8.49,21,84,medium,high,5,0,36.9,-2,0
Final Year Project (Sem 6),project,12,7,6.0,59,9.46,24,93,medium,low,0,2,27.6,0,0
OS Assignment #2,assignment,16,14,54.0,95,8.18,39,63,hard,high,6,5,53.9,2,1
Industry Internship Project,project,24,22,18.2,56,9.7,28,22,very_hard,medium,10,2,55.6,1,1
ML Model Project #2,project,7,2,17.8,81,7.58,6,16,hard,medium,2,6,52.4,10,1
DBMS Lab - SQL Queries (Sem 4),lab_experiment,7,6,27.0,18,8.73,43,10,medium,critical,2,4,67.7,5,1
DBMS Lab - SQL Queries,lab_experiment,12,11,47.5,2,5.05,8,26,hard,medium,1,3,56.4,8,1
Module Exam #5,exam,17,16,75.7,5,8.36,47,76,medium,high,0,0,40.7,0,0
Mobile App Development (Sem 8),project,32,29,6.8,10,5.93,14,18,easy,high,9,4,64.4,12,1
Online Quiz #5,exam,20,16,35.0,89,4.69,46,93,very_hard,high,3,3,63.8,8,1
Embedded Systems Lab #3,lab_experiment,18,13,8.5,54,5.88,21,57,very_hard,high,7,0,68.3,2,1
OS Assignment (Sem 2),assignment,25,23,65.1,71,4.36,40,81,medium,low,5,6,49.8,11,1
Final Year Project #3,project,7,3,41.1,19,7.94,19,23,medium,high,1,6,63.1,5,1
Embedded Systems Lab (Sem 1),lab_experiment,34,29,66.5,34,4.17,22,99,hard,critical,5,0,72.4,3,1
Computer Vision Lab,lab_experiment,28,23,77.8,11,8.48,18,58,medium,medium,5,2,48.6,12,1
Surprise Test,exam,5,4,60.6,6,8.04,22,66,hard,medium,7,3,67.0,5,1
Digital Electronics Lab #1,lab_experiment,5,3,54.6,75,6.92,47,49,easy,medium,9,0,49.7,1,1
AI Lab - Search Algorithms #2,lab_experiment,11,9,10.5,63,8.48,16,26,medium,high,8,4,49.0,14,1
End-Semester Exam #4,exam,3,0,73.8,40,7.45,41,61,hard,medium,1,3,72.1,1,1
Unit Test (Sem 8),exam,31,29,8.0,13,5.46,42,61,medium,medium,4,5,63.6,6,1
Compiler Lab - Lexical Analysis (Sem 2),lab_experiment,20,20,42.9,24,9.44,27,54,hard,high,2,1,49.9,2,1
AI Lab - Search Algorithms (Sem 3),lab_experiment,9,4,7.0,98,7.77,34,82,hard,medium,9,5,53.8,11,1
Practical Exam,exam,18,15,50.9,35,7.55,27,74,easy,medium,0,0,20.7,-1,0
End-Semester Exam #1,exam,22,18,76.4,94,9.38,33,83,hard,medium,7,4,44.5,3,1
Web Dev Assignment (Sem 6),assignment,6,2,52.0,5,5.49,33,66,medium,high,5,2,83.3,5,1
Mobile App Development (Sem 1),project,22,20,6.2,12,7.35,29,46,medium,critical,9,6,75.5,3,1
End-Semester Exam #5,exam,14,9,56.2,50,4.77,50,20,medium,medium,5,6,60.0,3,1
Software Engineering Assignment,assignment,13,11,15.2,27,6.05,36,34,medium,low,1,2,35.2,-3,0
Math Assignment (Sem 3),assignment,13,12,13.8,88,8.63,15,66,easy,medium,3,3,23.9,-1,0
Group Project - Web App #5,project,33,30,72.4,24,6.21,41,66,medium,medium,6,4,57.3,9,1
Research Project #2,project,6,1,39.0,47,7.33,11,76,very_hard,medium,2,2,76.7,8,1
Embedded Systems Lab #1,lab_experiment,30,28,74.5,53,4.32,37,57,medium,critical,5,1,65.1,1,1
End-Semester Exam,exam,3,1,73.5,60,8.18,13,100,medium,high,1,0,54.3,5,1
Network Lab - Packet Analysis,lab_experiment,26,24,19.8,15,4.29,31,91,hard,medium,1,6,60.1,8,1
Machine Learning Assignment (Sem 4),assignment,6,4,34.9,78,6.12,41,63,easy,high,8,2,52.5,2,1
Software Engineering Assignment (Sem 1),assignment,14,12,21.0,2,6.14,9,54,medium,high,1,6,55.5,10,1
Unit Test (Sem 6),exam,15,10,14.8,99,8.11,49,71,hard,high,1,5,42.1,0,0
Algorithms Assignment,assignment,28,28,25.9,39,7.09,39,70,medium,high,3,2,51.1,6,1
Math Assignment #3,assignment,16,13,59.7,49,6.03,16,73,hard,medium,8,2,52.8,13,1
Software Engineering Assignment (Sem 7),assignment,27,26,44.1,41,4.62,25,94,medium,medium,6,1,51.3,12,1
IoT Based Project (Sem 1),project,29,27,49.6,55,5.65,8,19,hard,medium,8,6,61.8,12,1
OS Lab - Process Scheduling,lab_experiment,4,4,19.6,82,6.2,29,82,easy,low,7,2,38.5,-1,0
Mini Project (Sem 3),project,14,11,25.8,35,5.5,12,13,hard,medium,6,4,64.2,2,1
Viva Voce (Sem 4),exam,14,9,73.4,62,5.2,13,19,medium,critical,7,0,58.9,13,1
Practical Exam #1,exam,28,27,57.2,89,7.83,28,75,medium,critical,2,1,38.0,0,0
Math Assignment #5,assignment,29,25,11.3,11,4.39,30,71,medium,high,9,0,62.8,3,1
End-Semester Exam (Sem 8),exam,18,16,11.1,99,7.31,42,33,hard,low,8,6,46.4,1,1
Machine Learning Assignment,assignment,7,5,74.8,28,6.08,38,46,hard,medium,10,4,71.2,5,1
AI Lab - Search Algorithms (Sem 2),lab_experiment,21,20,47.8,74,4.93,47,89,hard,high,9,0,58.9,14,1
OS Assignment (Sem 5),assignment,10,6,33.9,81,4.18,45,79,medium,critical,7,1,68.3,13,1
ML Model Project (Sem 2),project,2,1,35.7,61,6.79,26,87,easy,critical,5,5,85.4,14,1
Online Quiz (Sem 6),exam,17,17,26.2,59,4.74,33,41,easy,low,6,6,46.5,10,1
Group Project - Web App (Sem 6),project,25,23,16.0,20,6.99,37,69,medium,medium,0,0,34.7,0,0
Group Project - Web App,project,3,1,40.1,83,8.04,23,78,easy,low,2,2,40.7,12,1
Online Quiz #3,exam,5,1,45.4,46,7.32,9,59,medium,high,4,6,80.7,10,1
DBMS Assignment #1,assignment,27,25,45.1,46,8.53,17,87,medium,medium,0,0,22.5,-2,0
Weekly Test,exam,23,19,12.0,78,5.91,30,88,hard,medium,5,4,57.4,14,1
Industry Internship Project,project,13,11,54.2,53,7.5,49,90,easy,medium,10,6,44.3,13,1
OS Lab - Process Scheduling,lab_experiment,21,16,58.0,99,9.05,14,97,medium,high,1,1,23.6,-3,0
IoT Based Project #4,project,23,22,33.4,99,7.67,35,17,hard,medium,8,2,39.7,0,0
IoT Based Project (Sem 8),project,14,10,29.0,98,9.21,48,92,hard,medium,7,1,39.2,4,1
Module Exam #3,exam,26,24,56.7,88,8.23,25,71,medium,critical,4,2,45.9,2,1
Mobile App Development #3,project,3,1,76.5,10,6.08,33,93,medium,medium,3,6,80.3,9,1
Module Exam,exam,24,19,47.4,31,4.3,38,38,hard,low,6,2,58.6,12,1
Mini Project (Sem 1),project,30,29,33.1,60,6.86,17,46,medium,high,1,5,44.7,10,1
Digital Electronics Lab #1,lab_experiment,29,28,74.8,4,9.98,30,73,easy,high,4,0,46.2,-3,0
Surprise Test #5,exam,12,9,79.1,69,7.15,13,74,medium,low,1,2,24.5,-2,0
ML Model Project (Sem 1),project,12,10,45.9,96,5.16,44,91,very_hard,high,8,2,66.2,2,1
Mini Project #2,project,11,10,1.5,49,5.41,22,52,medium,high,0,2,43.4,-1,0
OS Lab - Process Scheduling #1,lab_experiment,8,5,55.2,90,8.62,49,25,hard,critical,5,4,69.9,4,1
Network Lab - Packet Analysis #4,lab_experiment,27,23,30.5,89,7.3,35,78,hard,high,3,5,53.7,13,1
Machine Learning Assignment,assignment,33,29,9.9,70,9.42,17,83,medium,low,8,3,33.7,-3,0
Computer Vision Lab (Sem 2),lab_experiment,14,14,36.8,65,6.49,41,17,hard,high,4,5,62.1,1,1
ML Model Project (Sem 4),project,2,2,34.5,89,4.38,8,18,very_hard,medium,4,3,71.0,3,1
Embedded Systems Lab #3,lab_experiment,30,27,30.7,87,9.78,39,27,hard,medium,2,4,37.5,0,0
DS Lab - Linked List #1,lab_experiment,19,14,57.8,54,7.19,19,41,medium,low,3,5,40.1,-3,0
Software Engineering Assignment,assignment,6,6,9.0,4,6.68,48,100,very_hard,medium,0,3,68.0,8,1
Digital Electronics Lab,lab_experiment,18,16,19.5,93,7.46,41,86,hard,high,3,2,47.5,3,1
Embedded Systems Lab,lab_experiment,21,17,70.5,22,7.76,32,81,medium,critical,10,5,68.8,7,1
Online Quiz #4,exam,13,12,60.6,60,5.45,19,48,very_hard,low,7,0,54.9,9,1
Mobile App Development #5,project,9,7,17.1,82,4.47,33,57,easy,high,3,0,45.9,-1,0
Industry Internship Project,project,10,6,58.2,71,5.3,18,52,medium,critical,3,1,61.6,12,1
Web Dev Assignment #2,assignment,30,29,44.6,99,5.7,34,78,hard,medium,5,4,53.6,8,1
Mini Project,project,13,11,33.7,72,9.18,14,12,medium,critical,9,5,57.0,7,1
Unit Test,exam,16,12,66.8,63,7.3,48,53,medium,high,10,5,59.2,8,1
Research Project,project,27,23,39.6,69,9.94,8,77,easy,high,10,0,34.0,-3,0
Research Project (Sem 2),project,4,4,18.3,58,6.24,44,91,hard,high,7,5,74.8,8,1
Data Structures Assignment,assignment,4,0,58.1,68,9.86,6,74,hard,high,2,0,62.0,2,1
DS Lab - Linked List #2,lab_experiment,11,8,7.2,51,6.75,20,99,medium,high,1,5,46.8,14,1
OS Assignment #4,assignment,20,17,5.4,1,8.22,10,73,hard,high,5,4,67.8,14,1
Machine Learning Assignment,assignment,33,28,71.1,60,5.63,9,97,very_hard,critical,9,5,83.9,1,1
Compiler Lab - Lexical Analysis (Sem 4),lab_experiment,9,4,65.9,9,5.8,41,40,hard,high,10,4,87.3,6,1
Research Project,project,6,3,19.3,9,6.04,44,86,medium,high,0,5,69.6,5,1
Capstone Project (Sem 6),project,33,30,35.1,87,7.52,29,20,hard,medium,3,5,41.5,2,1
Algorithms Assignment (Sem 7),assignment,30,25,13.2,49,5.9,11,21,easy,medium,5,6,51.3,5,1
DBMS Assignment #1,assignment,18,14,44.8,52,4.62,10,55,hard,high,5,6,69.6,7,1
Algorithms Assignment,assignment,27,23,72.5,31,7.43,15,97,medium,low,4,2,41.3,0,0
DBMS Lab - SQL Queries #2,lab_experiment,15,13,39.3,9,6.17,20,90,medium,high,7,0,57.2,3,1
Mid-Semester Exam (Sem 6),exam,14,12,35.8,55,8.89,46,86,easy,medium,3,3,33.6,-1,0
Embedded Systems Lab (Sem 5),lab_experiment,27,22,39.8,73,8.69,25,58,medium,high,5,0,39.9,-2,0
Digital Electronics Lab (Sem 8),lab_experiment,9,6,64.0,88,4.41,31,96,medium,high,3,2,53.5,11,1
Embedded Systems Lab #4,lab_experiment,22,19,47.0,68,7.04,49,63,medium,high,5,5,58.3,13,1
OS Assignment,assignment,24,20,4.5,82,8.06,30,52,very_hard,medium,0,0,31.6,-1,0
Digital Electronics Lab #5,lab_experiment,14,11,37.6,86,7.53,37,29,medium,low,1,2,18.5,0,0
OS Assignment #2,assignment,13,10,63.0,66,6.9,35,22,medium,high,5,0,47.3,5,1
OS Assignment (Sem 6),assignment,8,3,64.2,94,5.46,16,80,easy,high,7,1,56.8,13,1
Research Project #2,project,5,0,49.5,25,6.7,32,59,easy,medium,4,6,75.2,12,1
Computer Graphics Assignment #1,assignment,11,10,37.1,33,8.02,36,77,very_hard,medium,6,4,65.0,7,1
Math Assignment (Sem 8),assignment,10,5,56.8,38,9.51,42,20,hard,medium,3,2,54.6,2,1
Compiler Lab - Lexical Analysis #2,lab_experiment,20,19,46.4,54,5.11,45,78,hard,high,2,4,61.7,3,1
ML Model Project #2,project,29,26,49.9,45,9.71,36,27,easy,medium,8,4,42.6,0,0
Capstone Project #4,project,5,5,45.7,97,5.32,7,45,medium,medium,7,4,52.3,12,1
Open Source Contribution (Sem 2),project,5,3,62.2,46,7.25,7,66,medium,critical,1,5,69.5,14,1
AI Lab - Search Algorithms #1,lab_experiment,11,11,35.7,15,8.65,20,36,hard,high,5,6,68.0,12,1
Research Project,project,27,26,64.6,72,6.1,22,86,medium,medium,4,2,38.8,-1,0
DBMS Assignment #4,assignment,32,27,11.0,16,5.5,50,51,hard,high,10,3,76.8,8,1
Computer Vision Lab #3,lab_experiment,14,14,51.1,98,4.56,37,45,hard,critical,7,3,67.1,6,1
OS Assignment,assignment,29,25,32.4,54,8.95,36,44,medium,medium,8,4,45.8,3,1
IoT Based Project,project,23,20,2.3,20,6.65,5,64,medium,high,2,5,54.5,5,1
AI Lab - Search Algorithms #1,lab_experiment,4,2,53.5,83,4.99,30,90,medium,high,3,3,63.4,11,1
OS Assignment #1,assignment,3,2,47.9,66,8.08,5,11,hard,high,6,5,71.3,3,1
Mini Project,project,23,23,9.2,47,9.29,13,58,hard,high,2,5,51.9,11,1
DBMS Lab - SQL Queries (Sem 1),lab_experiment,21,20,35.8,92,5.28,14,62,hard,medium,3,0,39.0,-3,0
DBMS Lab - SQL Queries #5,lab_experiment,33,30,25.8,17,5.49,46,20,medium,high,9,2,67.2,13,1
Algorithms Assignment (Sem 4),assignment,14,12,52.0,100,9.39,20,73,medium,medium,10,4,35.0,-3,0
Math Assignment #3,assignment,31,27,34.2,69,8.1,35,19,easy,low,4,1,23.7,-3,0
Software Engineering Assignment (Sem 5),assignment,26,22,61.6,54,8.21,10,91,medium,high,4,0,39.2,-1,0
Machine Learning Assignment (Sem 3),assignment,13,10,47.3,97,9.01,48,92,easy,high,3,0,26.4,-2,0
Software Engineering Assignment (Sem 8),assignment,19,19,25.4,94,7.95,16,25,easy,low,0,1,4.8,0,0
Module Exam,exam,12,11,60.2,34,8.4,12,13,medium,medium,8,0,39.4,5,1
Web Dev Assignment,assignment,19,15,14.2,20,5.53,11,83,hard,low,8,0,54.1,1,1
Networking Assignment #1,assignment,13,12,15.1,4,7.32,50,93,medium,medium,6,5,64.2,6,1
End-Semester Exam,exam,21,16,72.3,22,5.34,38,15,very_hard,low,7,6,74.4,5,1
Practical Exam,exam,12,11,24.0,100,5.82,44,41,medium,high,7,6,56.4,13,1
Digital Electronics Lab,lab_experiment,32,29,2.9,69,6.08,49,11,very_hard,low,10,3,57.1,14,1
End-Semester Exam #2,exam,15,15,77.8,18,8.27,10,15,very_hard,critical,8,3,78.4,12,1
Weekly Test (Sem 2),exam,9,4,65.8,9,7.55,8,65,hard,low,4,2,55.0,14,1
Online Quiz #3,exam,9,8,6.9,25,4.82,42,23,easy,low,7,2,48.2,7,1
Machine Learning Assignment #3,assignment,12,9,21.9,15,4.54,48,48,hard,high,0,1,57.8,14,1
Unit Test #1,exam,16,12,4.9,38,5.56,16,13,very_hard,critical,8,5,89.0,9,1
DBMS Lab - SQL Queries,lab_experiment,3,3,5.9,99,9.9,13,35,hard,medium,10,5,58.5,2,1
End-Semester Exam,exam,33,28,36.0,16,4.55,26,25,easy,medium,2,4,48.4,0,0
Capstone Project (Sem 7),project,14,13,29.0,23,5.65,33,29,easy,high,3,5,59.7,5,1
Mobile App Development,project,4,2,31.3,53,5.2,38,41,hard,high,0,3,68.2,13,1
Weekly Test #5,exam,33,29,40.7,49,5.62,6,50,hard,low,4,0,44.8,13,1
Open Source Contribution,project,4,3,52.9,34,7.2,8,38,hard,critical,6,2,85.0,14,1
Network Lab - Packet Analysis (Sem 6),lab_experiment,24,22,73.2,3,8.22,27,82,hard,high,3,6,65.1,13,1
Open Source Contribution #3,project,1,1,5.4,77,5.31,38,71,easy,critical,3,6,82.4,3,1
Unit Test,exam,8,4,56.7,18,8.65,38,56,very_hard,medium,10,3,74.2,10,1
Math Assignment,assignment,10,5,75.9,81,9.76,46,50,easy,critical,9,6,61.4,6,1
Computer Vision Lab #2,lab_experiment,28,23,24.3,22,8.37,49,83,medium,critical,9,0,60.5,3,1
Surprise Test #2,exam,6,4,59.9,30,6.08,25,31,hard,critical,10,5,86.5,12,1
Weekly Test,exam,12,7,6.4,32,8.72,5,16,medium,high,2,3,51.1,8,1
IoT Based Project,project,29,26,63.3,73,7.91,48,38,easy,low,0,2,14.2,-3,0
Viva Voce #1,exam,8,5,13.7,9,7.28,10,53,hard,high,7,5,81.2,1,1
Research Project,project,1,1,27.2,24,6.46,40,79,medium,medium,3,0,68.2,1,1
Industry Internship Project,project,3,1,1.3,11,5.77,47,90,hard,low,0,1,71.5,3,1
End-Semester Exam #4,exam,28,25,38.2,84,5.59,46,79,medium,medium,6,2,46.8,3,1
Final Year Project #3,project,9,8,67.1,72,4.37,49,95,easy,high,8,3,53.5,13,1
Digital Electronics Lab (Sem 7),lab_experiment,17,13,55.3,60,7.44,20,70,medium,medium,0,4,33.0,-2,0
Web Dev Assignment,assignment,26,25,11.0,54,4.47,48,65,medium,high,2,6,57.0,10,1
Practical Exam #1,exam,20,17,44.6,35,7.12,5,99,hard,medium,6,0,50.5,7,1
Network Lab - Packet Analysis,lab_experiment,18,18,63.1,68,9.28,31,43,medium,medium,9,3,40.5,-3,0
AI Lab - Search Algorithms (Sem 3),lab_experiment,24,19,55.8,4,6.37,26,98,medium,high,4,2,59.8,1,1
Viva Voce #3,exam,32,27,55.1,29,4.81,33,51,medium,medium,10,0,52.5,-2,0
Group Project - Web App (Sem 8),project,29,27,65.9,65,8.75,9,49,hard,medium,8,4,47.9,-3,0
DS Lab - Linked List,lab_experiment,4,1,5.0,46,8.23,22,57,hard,medium,10,0,70.0,11,1
Networking Assignment (Sem 8),assignment,15,14,76.9,60,7.52,27,54,easy,critical,1,2,37.7,-3,0
Final Year Project,project,21,20,54.5,34,7.91,37,12,very_hard,critical,10,0,71.9,8,1
Network Lab - Packet Analysis,lab_experiment,12,8,64.6,39,8.28,50,92,medium,critical,5,3,63.2,5,1
IOT Lab Experiment (Sem 7),lab_experiment,3,3,41.4,84,9.8,28,81,hard,high,4,5,67.0,2,1
Mini Project (Sem 5),project,12,10,21.6,91,9.71,46,48,easy,medium,3,0,20.4,0,0
Unit Test #1,exam,11,8,33.0,94,4.21,50,83,hard,medium,3,5,52.2,9,1
IoT Based Project,project,31,26,70.2,23,5.76,35,26,hard,high,8,6,77.9,3,1
End-Semester Exam,exam,25,23,34.2,42,6.23,42,47,medium,low,0,6,35.8,-3,0
Group Project - Web App (Sem 2),project,16,12,24.6,6,9.23,14,27,very_hard,medium,9,3,66.2,3,1
Unit Test #1,exam,21,20,25.8,7,4.03,22,36,hard,low,2,3,54.8,13,1
DBMS Assignment (Sem 7),assignment,16,13,34.9,61,6.3,7,78,easy,medium,0,2,22.5,-2,0
Data Structures Assignment (Sem 4),assignment,30,28,25.7,13,6.3,42,49,easy,high,4,2,54.6,8,1
Online Quiz #2,exam,12,11,14.0,51,4.11,19,26,medium,low,8,1,43.7,-3,0
Mid-Semester Exam (Sem 5),exam,19,19,47.9,6,7.97,46,12,easy,low,7,3,44.4,2,1
Weekly Test (Sem 4),exam,26,21,1.7,53,7.97,47,76,medium,high,2,3,43.1,-3,0
Algorithms Assignment #1,assignment,10,6,16.8,33,8.99,17,55,hard,medium,0,4,48.1,0,0
IOT Lab Experiment,lab_experiment,5,0,8.0,14,9.01,47,73,easy,low,8,0,61.9,12,1
Algorithms Assignment #2,assignment,11,8,5.0,22,9.24,23,56,hard,medium,1,0,37.9,14,1
Data Structures Assignment #2,assignment,14,11,76.5,34,9.27,10,57,hard,low,6,3,47.2,8,1
Online Quiz (Sem 7),exam,29,28,9.9,89,8.36,15,23,medium,high,9,5,45.7,0,0
Computer Vision Lab (Sem 6),lab_experiment,5,0,70.5,93,9.84,13,71,very_hard,low,6,3,68.7,1,1
Algorithms Assignment (Sem 1),assignment,32,27,42.5,95,7.46,41,38,very_hard,high,5,4,65.1,9,1
Software Engineering Assignment #2,assignment,26,21,51.7,19,9.03,40,88,easy,high,2,4,46.2,0,0
Research Project #1,project,9,7,77.6,6,7.04,40,92,medium,high,1,3,61.8,8,1
Mini Project #4,project,6,3,59.9,2,4.62,31,14,hard,low,1,6,72.7,10,1
Module Exam (Sem 4),exam,24,21,76.1,46,8.95,19,68,medium,high,9,3,50.7,12,1
Weekly Test (Sem 2),exam,7,7,28.0,81,9.79,23,80,medium,high,0,1,33.1,0,0
Embedded Systems Lab (Sem 5),lab_experiment,7,6,10.5,50,5.29,17,53,easy,medium,10,6,59.7,11,1
Web Dev Assignment #4,assignment,4,0,59.2,70,9.61,42,71,very_hard,high,2,5,83.2,10,1
